time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,step
0,0,566.7794558014334,0.1242990493774414,0.049150705337524414,0.0029036998748779297,0
1000,0,44.11388888333795,0.03557860851287842,0.0011568069458007812,0.00013256072998046875,1000
2000,0,44.122441525696885,0.02951192855834961,0.0009883642196655273,0.00010704994201660156,2000
3000,0,47.824191220872,0.021132826805114746,0.0010718107223510742,0.00013709068298339844,3000
4000,0,39.07622451157561,0.023689746856689453,0.0009444952011108398,9.882450103759766e-05,4000
5000,0,48.98488118932371,0.013645768165588379,0.0007816553115844727,7.593631744384766e-05,5000
6000,0,41.52149304189219,0.0019221305847167969,0.0009274482727050781,0.00010216236114501953,6000
7000,0,50.89784993406452,0.013765335083007812,0.0007606744766235352,8.857250213623047e-05,7000
8000,0,51.26109155723551,0.04269683361053467,0.0009425878524780273,9.21487808227539e-05,8000
9000,0,50.68230059216901,0.020647048950195312,0.0007801055908203125,7.402896881103516e-05,9000
10000,0,50.50353577393587,0.0669487714767456,0.0009554624557495117,0.00010597705841064453,10000
11000,0,34.524026865878525,0.026118755340576172,0.0015006065368652344,0.00016438961029052734,11000
12000,1,32.97451060103994,0.01956760883331299,0.0011712312698364258,0.0001506805419921875,12000
13000,1,54.36649669618499,0.003976702690124512,0.0009052753448486328,8.594989776611328e-05,13000
14000,1,50.81574316090752,0.010419607162475586,0.0009077787399291992,8.58306884765625e-05,14000
15000,1,52.50835015047797,0.011867880821228027,0.0007647275924682617,7.104873657226562e-05,15000
16000,1,51.882111703714,0.028685688972473145,0.0010284185409545898,0.00011146068572998047,16000
17000,1,51.342765730049415,0.020357608795166016,0.0009598731994628906,0.0001024007797241211,17000
18000,1,53.81944742956342,0.02066051959991455,0.0009372234344482422,0.00011086463928222656,18000
19000,1,50.25450130994907,0.01886773109436035,0.0010225772857666016,0.00011432170867919922,19000
20000,1,43.372062722583685,0.011581897735595703,0.0009353160858154297,9.763240814208984e-05,20000
21000,1,50.84556445820486,0.0107191801071167,0.0007545948028564453,7.236003875732422e-05,21000
22000,1,45.27674891166644,0.011089920997619629,0.0007750988006591797,7.176399230957031e-05,22000
23000,1,62.28514370876544,0.01805746555328369,0.0011184215545654297,0.00011277198791503906,23000
24000,2,73.93114748723706,0.013513565063476562,0.0009944438934326172,0.0001125335693359375,24000
25000,2,67.30991062585014,0.014296889305114746,0.0009621381759643555,0.00011599063873291016,25000
26000,2,58.89757185186579,0.018030643463134766,0.0009261369705200195,9.560585021972656e-05,26000
27000,2,45.29453677759964,0.015410542488098145,0.0009590387344360352,9.989738464355469e-05,27000
28000,2,38.62000485431351,0.011352896690368652,0.0009909868240356445,0.00011670589447021484,28000
29000,2,35.75153850887851,0.013276934623718262,0.0012238025665283203,0.00015473365783691406,29000
30000,2,45.23527215445572,0.01231682300567627,0.000895380973815918,8.881092071533203e-05,30000
31000,2,48.322443330085186,0.024212121963500977,0.0010449886322021484,0.00013267993927001953,31000
32000,2,48.3606757735879,0.021108269691467285,0.0009270906448364258,9.620189666748047e-05,32000
33000,2,50.95890317756882,0.06552994251251221,0.0010901689529418945,0.0001176595687866211,33000
34000,2,43.0114089901891,0.02000880241394043,0.0009282827377319336,9.870529174804688e-05,34000
35000,3,64.52608609500554,0.013221025466918945,0.0008848905563354492,0.00011551380157470703,35000
36000,3,61.13133451953146,0.008317828178405762,0.0007654428482055664,7.319450378417969e-05,36000
37000,3,55.22447702168621,0.0029816627502441406,0.0010231733322143555,9.799003601074219e-05,37000
38000,3,51.33415057317756,0.012113809585571289,0.0010360479354858398,0.00012063980102539062,38000
39000,3,32.51316788632595,0.02409231662750244,0.0012286901473999023,0.00012445449829101562,39000
40000,3,42.374377261015326,0.024015188217163086,0.0009739398956298828,0.00011134147644042969,40000
